DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,F,Y_GE15,PC,AT11,2015,5.9,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,F,Y_GE15,PC,AT11,2016,5.9,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,F,Y_GE15,PC,AT11,2017,5.8,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,F,Y_GE15,PC,AT11,2018,4.5,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,F,Y_GE15,PC,AT11,2019,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,F,Y_GE15,PC,AT11,2020,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,M,Y_GE15,PC,AT11,2009,4.6,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,M,Y_GE15,PC,AT11,2010,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,M,Y_GE15,PC,AT11,2011,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,M,Y_GE15,PC,AT11,2012,4.3,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,M,Y_GE15,PC,AT11,2013,4.1,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,M,Y_GE15,PC,AT11,2014,4.8,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,M,Y_GE15,PC,AT11,2015,4.7,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,M,Y_GE15,PC,AT11,2016,5.6,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,M,Y_GE15,PC,AT11,2017,4.7,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,M,Y_GE15,PC,AT11,2018,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,M,Y_GE15,PC,AT11,2019,,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,M,Y_GE15,PC,AT11,2020,4.2,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2009,5.0,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2010,4.0,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2011,3.8,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2012,4.6,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2013,4.3,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2014,4.8,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2015,5.2,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2016,5.7,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2017,5.2,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2018,4.2,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2019,3.6,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2020,4.2,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT12,2009,8.5,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT12,2010,6.5,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT12,2011,7.4,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT12,2012,8.6,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT12,2013,10.4,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT12,2014,10.0,b
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT12,2015,9.7,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT12,2016,8.4,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT12,2017,9.5,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT12,2018,7.5,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT12,2019,8.2,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,F,Y_GE15,PC,AT12,2020,10.0,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT12,2009,12.3,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT12,2010,8.5,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT12,2011,11.4,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT12,2012,12.6,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT12,2013,11.1,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT12,2014,12.1,b
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT12,2015,10.7,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT12,2016,14.9,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT12,2017,15.0,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT12,2018,10.2,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT12,2019,9.8,u
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,M,Y_GE15,PC,AT12,2020,13.1,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT12,2009,10.2,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT12,2010,7.4,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT12,2011,9.2,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT12,2012,10.3,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT12,2013,10.7,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT12,2014,11.0,b
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT12,2015,10.1,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT12,2016,11.5,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT12,2017,12.2,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT12,2018,8.8,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT12,2019,9.0,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED0-2,T,Y_GE15,PC,AT12,2020,11.5,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED3_4,F,Y_GE15,PC,AT12,2009,3.9,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED3_4,F,Y_GE15,PC,AT12,2010,3.5,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED3_4,F,Y_GE15,PC,AT12,2011,4.0,
ESTAT:TGS00010(1.0),10/09/21 23:00:00,A,ED3_4,F,Y_GE15,PC,AT12,2012,4.2,
