DATAFLOW,LAST UPDATE,freq,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT11,2010,64,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT11,2011,68,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT11,2012,71,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT11,2013,71,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT11,2014,76,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT11,2016,77,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT11,2017,83,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT11,2018,83,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT11,2019,78,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT11,2020,83,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT11,2021,86,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT12,2010,70,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT12,2011,74,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT12,2012,74,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT12,2013,74,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT12,2014,74,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT12,2016,81,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT12,2017,84,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT12,2018,84,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT12,2019,88,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT12,2020,86,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT12,2021,92,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT13,2010,74,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT13,2011,82,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT13,2012,79,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT13,2013,80,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT13,2014,84,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT13,2016,87,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT13,2017,88,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT13,2018,89,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT13,2019,88,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT13,2020,90,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT13,2021,92,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT21,2010,64,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT21,2011,72,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT21,2012,71,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT21,2013,71,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT21,2014,71,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT21,2016,77,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT21,2017,79,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT21,2018,83,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT21,2019,84,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT21,2020,81,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT21,2021,85,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT22,2010,69,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT22,2011,71,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT22,2012,74,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT22,2013,75,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT22,2014,71,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT22,2016,76,
ESTAT:TGS00050(1.0),16/12/21 11:00:00,A,I_IUSE,PC_IND,AT22,2017,84,
