DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT31,2014,79,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT31,2016,86,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT31,2017,88,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT31,2018,89,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT31,2019,88,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT31,2020,89,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT31,2021,91,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT32,2010,64,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT32,2011,73,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT32,2012,80,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT32,2013,78,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT32,2014,84,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT32,2016,86,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT32,2017,88,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT32,2018,89,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT32,2019,89,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT32,2020,88,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT32,2021,92,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT33,2010,64,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT33,2011,69,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT33,2012,72,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT33,2013,83,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT33,2014,79,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT33,2016,84,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT33,2017,89,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT33,2018,88,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT33,2019,93,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT33,2020,90,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT33,2021,89,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT34,2010,65,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT34,2011,79,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT34,2012,79,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT34,2013,83,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT34,2014,81,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT34,2016,88,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT34,2017,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT34,2018,91,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT34,2019,90,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT34,2020,92,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,AT34,2021,94,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE10,2010,65,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE10,2011,71,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE10,2012,75,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE10,2013,76,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE10,2014,78,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE10,2015,76,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE10,2016,86,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE10,2017,84,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE10,2018,84,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE10,2019,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE10,2020,90,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE10,2021,93,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE21,2010,73,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE21,2011,76,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE21,2012,77,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE21,2013,84,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE21,2014,85,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE21,2015,81,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE21,2016,85,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE21,2017,86,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE21,2018,86,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE21,2019,90,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE21,2020,91,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE21,2021,93,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE22,2010,77,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE22,2011,78,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE22,2012,80,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE22,2013,81,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE22,2014,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE22,2015,83,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE22,2016,85,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE22,2017,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE22,2018,84,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE22,2019,90,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE22,2020,92,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE22,2021,93,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE23,2010,73,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE23,2011,74,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE23,2012,77,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE23,2013,82,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE23,2014,84,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE23,2015,80,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE23,2016,83,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE23,2017,83,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE23,2018,84,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE23,2019,86,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE23,2020,93,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE23,2021,93,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE24,2010,78,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE24,2011,80,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE24,2012,80,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE24,2013,81,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE24,2014,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE24,2015,85,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE24,2016,85,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE24,2017,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE24,2018,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE24,2019,93,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE24,2020,94,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE24,2021,97,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE25,2010,72,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE25,2011,74,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE25,2012,72,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE25,2013,77,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE25,2014,81,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE25,2015,80,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE25,2016,80,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE25,2017,86,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE25,2018,85,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE25,2019,89,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE25,2020,91,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE25,2021,94,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE31,2010,73,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE31,2011,81,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE31,2012,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE31,2013,82,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE31,2014,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE31,2015,84,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE31,2016,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE31,2017,88,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE31,2018,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE31,2019,90,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE31,2020,96,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE31,2021,96,
