DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT31,2017,10,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT32,2006,25,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT32,2007,17,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT32,2008,14,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT32,2009,17,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT32,2010,18,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT32,2011,12,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT32,2012,12,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT32,2013,12,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT32,2014,13,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT32,2017,9,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT33,2006,26,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT33,2007,21,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT33,2008,18,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT33,2009,24,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT33,2010,18,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT33,2011,15,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT33,2012,18,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT33,2013,13,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT33,2014,13,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT33,2017,10,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT34,2006,23,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT34,2007,18,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT34,2008,17,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT34,2009,20,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT34,2010,17,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT34,2011,10,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT34,2012,11,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT34,2013,8,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT34,2014,10,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,AT34,2017,9,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE10,2008,23,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE10,2009,16,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE10,2010,13,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE10,2011,10,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE10,2012,9,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE10,2013,9,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE10,2014,8,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE10,2015,10,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE10,2017,8,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE21,2008,16,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE21,2009,15,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE21,2010,13,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE21,2011,12,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE21,2012,12,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE21,2013,8,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE21,2014,8,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE21,2015,11,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE21,2017,7,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE22,2008,22,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE22,2009,20,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE22,2010,18,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE22,2011,13,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE22,2012,14,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE22,2013,13,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE22,2014,8,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE22,2015,12,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE22,2017,10,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE23,2008,21,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE23,2009,17,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE23,2010,14,
ESTAT:TGS00051(1.0),16/12/21 11:00:00,A,PC_IND,BE23,2011,14,
