DATAFLOW,LAST UPDATE,freq,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT22,2018,61,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT22,2019,61,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT22,2020,63,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT22,2021,60,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT31,2010,39,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT31,2011,43,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT31,2012,50,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT31,2013,54,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT31,2014,53,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT31,2016,59,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT31,2017,63,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT31,2018,57,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT31,2019,66,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT31,2020,65,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT31,2021,61,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT32,2010,41,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT32,2011,41,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT32,2012,50,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT32,2013,55,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT32,2014,55,
