DATAFLOW,LAST UPDATE,freq,category,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT22,2012,36.8,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT22,2013,36.2,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT22,2014,41.5,b
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT22,2015,43.1,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT22,2016,43.7,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT22,2017,44.4,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT22,2018,45.3,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT22,2019,46.0,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT22,2020,46.9,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT31,2009,33.9,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT31,2010,34.8,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT31,2011,35.3,b
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT31,2012,36.0,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT31,2013,37.7,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT31,2014,42.4,b
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT31,2015,42.8,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT31,2016,44.6,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT31,2017,44.5,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT31,2018,46.1,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT31,2019,48.8,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT31,2020,47.6,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT32,2009,36.7,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT32,2010,36.4,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT32,2011,36.7,b
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT32,2012,39.2,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT32,2013,39.9,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT32,2014,45.0,b
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT32,2015,45.3,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT32,2016,46.1,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT32,2017,46.8,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT32,2018,46.3,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT32,2019,46.8,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT32,2020,48.3,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT33,2009,34.2,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT33,2010,34.0,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT33,2011,34.9,b
